TIME,PM1(ug/m^3),PM2.5(ug/m^3),PM10(ug/m^3),O3(ppm),NO2(ppm),CO(ppm),SO2(ppm),WS(m/s),WDI
2020-03-15 15:15:00,23,34,39,4.10,0.00,0.00,0.06,0.00,360.00
2020-03-15 16:46:00,23,35,41,3.50,0.00,0.00,0.04,0.00,103.21
2020-03-15 16:47:00,24,38,44,3.50,0.00,0.00,0.05,0.00,103.21
2020-03-15 16:48:00,22,35,41,3.60,0.00,0.00,0.05,0.00,103.30
