TIME,PM1(ug/m^3),PM2.5(ug/m^3),PM10(ug/m^3),light(lx),temperature(C),humidity(%),pressure(hPa),rain(mm),O3(ppm),NO2(ppm),CO(ppm),SO2(ppm),WS(m/s),WDI
2020-03-29 00:00:00,94,145,158,0.00,23.38,50.20,978.28,0.00,2.10,0.00,0.00,0.04,0.00,153.67
2020-03-29 00:01:00,550,145,158,0.00,23.38,50.20,978.28,0.00,2.10,0.00,0.00,0.04,0.00,0
